sample_id,partner_sample_id,contributor,country,location,year,month,latitude,longitude,sex_call,sample_set,release,aim_species_fraction_colu,aim_species_fraction_arab,aim_species_gambcolu_arabiensis,aim_species_gambiae_coluzzii,aim_species,country_iso,admin1_name,admin1_iso,admin2_name,taxon,cohort_admin1_year,cohort_admin1_month,cohort_admin2_year,cohort_admin2_month,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
AA0097-C,Madina_E4,David Weetman,Ghana,Madina_West,2012,11,5.667999999999999,-0.21899999999999997,F,AG1000G-GH,3.0,0.981,0.002,gamb_colu,coluzzii,coluzzii,GHA,Greater Accra,GH-AA,Ga East,coluzzii,GH-AA_colu_2012,GH-AA_colu_2012_11,GH-AA_Ga-East_colu_2012,GH-AA_Ga-East_colu_2012_11,-74.03638,3.0920918,-0.4079483,-1.624522,9.07674,-5.026748,88.29947,-20.570562,70.77252,32.386353
AA0092-C,Takoradi_C11,David Weetman,Ghana,Takoradi,2012,8,4.912,-1.774,F,AG1000G-GH,3.0,0.9740000000000001,0.002,gamb_colu,coluzzii,coluzzii,GHA,Western,GH-WP,Shama Ahanta East,coluzzii,GH-WP_colu_2012,GH-WP_colu_2012_08,GH-WP_Shama-Ahanta-East_colu_2012,GH-WP_Shama-Ahanta-East_colu_2012_08,-76.27495,2.9122481,1.0914676,-8.411995,34.4302,-0.8168913,-92.15023,1.0707955,28.441256,24.699137
AA0047-C,Koforidua_D5,David Weetman,Ghana,Koforidua,2012,11,6.093999999999999,-0.261,F,AG1000G-GH,3.0,0.027000000000000003,0.002,gamb_colu,gambiae,gambiae,GHA,Eastern,GH-EP,New Juaben,gambiae,GH-EP_gamb_2012,GH-EP_gamb_2012_11,GH-EP_New-Juaben_gamb_2012,GH-EP_New-Juaben_gamb_2012_11,119.860306,11.464893,-6.2008543,42.817924,-4.297165,-56.06869,1.8495893,51.440216,18.972025,43.645832
AA0141-C,Madina_H6,David Weetman,Ghana,Madina_West,2012,11,5.667999999999999,-0.21899999999999997,F,AG1000G-GH,3.0,0.9640000000000001,0.002,gamb_colu,coluzzii,coluzzii,GHA,Greater Accra,GH-AA,Ga East,coluzzii,GH-AA_colu_2012,GH-AA_colu_2012_11,GH-AA_Ga-East_colu_2012,GH-AA_Ga-East_colu_2012_11,-69.08429,3.6141536,1.5898154,-4.7944646,-1.9112166,-2.1879008,155.4581,-10.53191,-18.012503,4.503281
AA0039-C,Twifo_Praso__B1,David Weetman,Ghana,Twifo Praso,2012,9,5.609,-1.5490000000000002,F,AG1000G-GH,3.0,0.977,0.002,gamb_colu,coluzzii,coluzzii,GHA,Central,GH-CP,Twifu Heman/Lower Denkyira,coluzzii,GH-CP_colu_2012,GH-CP_colu_2012_09,GH-CP_Twifu-Heman-Lower-Denkyira_colu_2012,GH-CP_Twifu-Heman-Lower-Denkyira_colu_2012_09,-65.16966,0.82313395,2.584631,-4.600146,25.004118,-0.074073724,-2.7702801,5.553089,12.80703,-40.770958
AA0046-C,Koforidua_G3,David Weetman,Ghana,Koforidua,2012,11,6.093999999999999,-0.261,F,AG1000G-GH,3.0,0.027999999999999997,0.002,gamb_colu,gambiae,gambiae,GHA,Eastern,GH-EP,New Juaben,gambiae,GH-EP_gamb_2012,GH-EP_gamb_2012_11,GH-EP_New-Juaben_gamb_2012,GH-EP_New-Juaben_gamb_2012_11,193.31328,346.78738,-18.036139,-194.35373,12.43312,7.0008793,0.5984346,-7.494031,1.0153095,-1.1458924
AA0095-C,Koforidua_C6,David Weetman,Ghana,Koforidua,2012,11,6.093999999999999,-0.261,F,AG1000G-GH,3.0,0.023,0.002,gamb_colu,gambiae,gambiae,GHA,Eastern,GH-EP,New Juaben,gambiae,GH-EP_gamb_2012,GH-EP_gamb_2012_11,GH-EP_New-Juaben_gamb_2012,GH-EP_New-Juaben_gamb_2012_11,108.36497,-10.863405,-14.978976,63.51206,-10.169021,-57.27375,13.7272625,69.5605,3.8004143,32.29632
AA0120-C,Madina_C3,David Weetman,Ghana,Madina_West,2012,11,5.667999999999999,-0.21899999999999997,F,AG1000G-GH,3.0,0.9640000000000001,0.002,gamb_colu,coluzzii,coluzzii,GHA,Greater Accra,GH-AA,Ga East,coluzzii,GH-AA_colu_2012,GH-AA_colu_2012_11,GH-AA_Ga-East_colu_2012,GH-AA_Ga-East_colu_2012_11,-76.14481,2.4946544,-0.06569144,-7.4947333,-37.659176,1.6076092,32.501957,-7.3501987,16.416353,-37.77639
AA0076-C,Twifo_Praso__B3,David Weetman,Ghana,Twifo Praso,2012,9,5.609,-1.5490000000000002,F,AG1000G-GH,3.0,0.977,0.002,gamb_colu,coluzzii,coluzzii,GHA,Central,GH-CP,Twifu Heman/Lower Denkyira,coluzzii,GH-CP_colu_2012,GH-CP_colu_2012_09,GH-CP_Twifu-Heman-Lower-Denkyira_colu_2012,GH-CP_Twifu-Heman-Lower-Denkyira_colu_2012_09,-68.74707,-0.03268427,-1.7839793,-4.995713,17.49243,6.5996246,-8.982132,-18.968426,39.84377,-54.543606
AA0043-C,Takoradi_H8,David Weetman,Ghana,Takoradi,2012,8,4.912,-1.774,F,AG1000G-GH,3.0,0.968,0.002,gamb_colu,coluzzii,coluzzii,GHA,Western,GH-WP,Shama Ahanta East,coluzzii,GH-WP_colu_2012,GH-WP_colu_2012_08,GH-WP_Shama-Ahanta-East_colu_2012,GH-WP_Shama-Ahanta-East_colu_2012_08,-67.08934,0.45159608,2.2131493,-0.6122568,12.877787,5.3763437,0.6131573,16.218765,-8.494792,-18.199684
